Clock_Time, Current, V_battery, CCF, SoC
1070000,0.500000,3.975923,0.988873,0.925112 
1075000,0.500000,3.975646,0.988873,0.924777 
1080000,0.500000,3.975371,0.988873,0.924441 
1085000,0.500000,3.975096,0.988873,0.924106 
1090000,0.500000,3.974820,0.988873,0.923771 
1095000,0.500000,3.974545,0.988873,0.923436 
1100000,0.500000,3.974270,0.988873,0.923100 
1105000,0.500000,3.973995,0.988873,0.922765 
1110000,0.500000,3.973720,0.988872,0.922430 
1115000,0.500000,3.973446,0.988872,0.922095 
1120000,0.500000,3.973172,0.988872,0.921759 
1125000,0.500000,3.972898,0.988872,0.921424 
1130000,0.500000,3.972623,0.988872,0.921089 
1135000,0.500000,3.972350,0.988872,0.920753 
1140000,0.500000,3.972076,0.988872,0.920418 
1145000,0.500000,3.971802,0.988872,0.920083 
1150000,0.500000,3.971529,0.988872,0.919748 
1155000,0.500000,3.971256,0.988872,0.919412 
1160000,0.500000,3.970983,0.988872,0.919077 
1165000,0.500000,3.970710,0.988872,0.918742 
1170000,0.500000,3.970438,0.988872,0.918406 
1175000,0.500000,3.970165,0.988871,0.918071 
1180000,0.500000,3.969893,0.988871,0.917736 
1185000,0.500000,3.969621,0.988871,0.917401 
1190000,0.500000,3.969349,0.988871,0.917065 
1195000,0.500000,3.969077,0.988871,0.916730 
1200000,0.500000,3.968806,0.988871,0.916395 
1205000,0.500000,3.968534,0.988871,0.916060 
1210000,0.500000,3.968263,0.988871,0.915724 
1215000,0.500000,3.967992,0.988871,0.915389 
1220000,0.500000,3.967721,0.988871,0.915054 
1225000,0.500000,3.967450,0.988871,0.914718 
1230000,0.500000,3.967180,0.988871,0.914383 
1235000,0.500000,3.966910,0.988870,0.914048 
1240000,0.500000,3.966640,0.988870,0.913713 
1245000,0.500000,3.966370,0.988870,0.913377 
1250000,0.500000,3.966100,0.988870,0.913042 
1255000,0.500000,3.965830,0.988870,0.912707 
1260000,0.500000,3.965561,0.988870,0.912372 
1265000,0.500000,3.965291,0.988870,0.912036 
1270000,0.500000,3.965022,0.988870,0.911701 
1275000,0.500000,3.964753,0.988870,0.911366 
1280000,0.500000,3.964484,0.988870,0.911030 
1285000,0.500000,3.964216,0.988870,0.910695 
1290000,0.500000,3.963947,0.988869,0.910360 
1295000,0.500000,3.963679,0.988869,0.910025 
1300000,0.500000,3.963411,0.988869,0.909689 
1305000,0.500000,3.963143,0.988869,0.909354 
1310000,0.500000,3.962875,0.988869,0.909019 
1315000,0.500000,3.962607,0.988869,0.908683 
1320000,0.500000,3.962340,0.988869,0.908348 
1325000,0.500000,3.962073,0.988869,0.908013 
1330000,0.500000,3.961806,0.988869,0.907678 
1335000,0.500000,3.961539,0.988869,0.907342 
1340000,0.500000,3.961272,0.988869,0.907007 
1345000,0.500000,3.961005,0.988869,0.906672 
1350000,0.500000,3.960739,0.988869,0.906337 
1355000,0.500000,3.960473,0.988868,0.906001 
1360000,0.500000,3.960207,0.988868,0.905666 
1365000,0.500000,3.959941,0.988868,0.905331 
1370000,0.500000,3.959675,0.988868,0.904995 
1375000,0.500000,3.959409,0.988868,0.904660 
1380000,0.500000,3.959144,0.988868,0.904325 
1385000,0.500000,3.958879,0.988868,0.903990 
1390000,0.500000,3.958614,0.988868,0.903654 
1395000,0.500000,3.958349,0.988868,0.903319 
1400000,0.500000,3.958084,0.988868,0.902984 
1405000,0.500000,3.957819,0.988868,0.902649 
1410000,0.500000,3.957555,0.988868,0.902313 
1415000,0.500000,3.957291,0.988867,0.901978 
1420000,0.500000,3.957027,0.988867,0.901643 
1425000,0.500000,3.956763,0.988867,0.901307 
1430000,0.500000,3.956499,0.988867,0.900972 
1435000,0.500000,3.956236,0.988867,0.900637 
1440000,0.500000,3.955973,0.988867,0.900302 
1445000,0.500000,3.955709,0.988867,0.899966 
1450000,0.500000,3.955446,0.988867,0.899631 
1455000,0.500000,3.955183,0.988867,0.899296 
1460000,0.500000,3.954921,0.988867,0.898960 
1465000,0.500000,3.954659,0.988867,0.898625 
1470000,0.500000,3.954396,0.988867,0.898290 
1475000,0.500000,3.954134,0.988866,0.897955 
1480000,0.500000,3.953872,0.988866,0.897619 
1485000,0.500000,3.953610,0.988866,0.897284 
1490000,0.500000,3.953348,0.988866,0.896949 
1495000,0.500000,3.953087,0.988866,0.896614 
1500000,0.500000,3.952826,0.988866,0.896278 
1505000,0.500000,3.952564,0.988866,0.895943 
1510000,0.500000,3.952303,0.988866,0.895608 
1515000,0.500000,3.952043,0.988866,0.895272 
1520000,0.500000,3.951782,0.988866,0.894937 
1525000,0.500000,3.951521,0.988866,0.894602 
1530000,0.500000,3.951261,0.988866,0.894267 
1535000,0.500000,3.951001,0.988865,0.893931 
1540000,0.500000,3.950741,0.988865,0.893596 
1545000,0.500000,3.950481,0.988865,0.893261 
1550000,0.500000,3.950222,0.988865,0.892926 
1555000,0.500000,3.949962,0.988865,0.892590 
1560000,0.500000,3.949703,0.988865,0.892255 
1565000,0.500000,3.949444,0.988865,0.891920 
1570000,0.500000,3.949184,0.988865,0.891584 
1575000,0.500000,3.948925,0.988865,0.891249 
1580000,0.500000,3.948667,0.988865,0.890914 
1585000,0.500000,3.948408,0.988865,0.890579 
1590000,0.500000,3.948150,0.988865,0.890243 
1595000,0.500000,3.947892,0.988864,0.889908 
1600000,0.500000,3.947634,0.988864,0.889573 
1605000,0.500000,3.947376,0.988864,0.889237 
1610000,0.500000,3.947119,0.988864,0.888902 
1615000,0.500000,3.946861,0.988864,0.888567 
1620000,0.500000,3.946604,0.988864,0.888232 
1625000,0.500000,3.946346,0.988864,0.887896 
1630000,0.500000,3.946089,0.988864,0.887561 
1635000,0.500000,3.945832,0.988864,0.887226 
1640000,0.500000,3.945575,0.988864,0.886891 
1645000,0.500000,3.945318,0.988864,0.886555 
1650000,0.500000,3.945062,0.988864,0.886220 
1655000,0.500000,3.944806,0.988863,0.885885 
1660000,0.500000,3.944550,0.988863,0.885549 
1665000,0.500000,3.944294,0.988863,0.885214 
1670000,0.500000,3.944039,0.988863,0.884879 
1675000,0.500000,3.943783,0.988863,0.884544 
1680000,0.500000,3.943528,0.988863,0.884208 
1685000,0.500000,3.943273,0.988863,0.883873 
1690000,0.500000,3.943017,0.988863,0.883538 
1695000,0.500000,3.942763,0.988863,0.883202 
1700000,0.500000,3.942508,0.988863,0.882867 
1705000,0.500000,3.942254,0.988863,0.882532 
1710000,0.500000,3.941999,0.988863,0.882197 
1715000,0.500000,3.941745,0.988862,0.881861 
1720000,0.500000,3.941491,0.988862,0.881526 
1725000,0.500000,3.941237,0.988862,0.881191 
1730000,0.500000,3.940984,0.988862,0.880856 
1735000,0.500000,3.940730,0.988862,0.880520 
1740000,0.500000,3.940477,0.988862,0.880185 
1745000,0.500000,3.940224,0.988862,0.879850 
1750000,0.500000,3.939970,0.988862,0.879514 
1755000,0.500000,3.939718,0.988862,0.879179 
1760000,0.500000,3.939465,0.988862,0.878844 
1765000,0.500000,3.939213,0.988862,0.878509 
1770000,0.500000,3.938960,0.988862,0.878173 
1775000,0.500000,3.938708,0.988862,0.877838 
1780000,0.500000,3.938456,0.988861,0.877503 
1785000,0.500000,3.938204,0.988861,0.877168 
1790000,0.500000,3.937952,0.988861,0.876832 
1795000,0.500000,3.937700,0.988861,0.876497 
1800000,0.500000,3.937449,0.988861,0.876162 
1805000,0.500000,3.937198,0.988861,0.875826 
1810000,0.500000,3.936947,0.988861,0.875491 
1815000,0.500000,3.936696,0.988861,0.875156 
1820000,0.500000,3.936430,0.988861,0.874801 
1825000,0.500000,3.936152,0.988861,0.874428 
1830000,0.500000,3.935874,0.988861,0.874056 
1835000,0.500000,3.935596,0.988860,0.873683 
1840000,0.500000,3.935318,0.988860,0.873311 
1845000,0.500000,3.935040,0.988860,0.872938 
1850000,0.500000,3.934763,0.988860,0.872566 
1855000,0.500000,3.934486,0.988860,0.872193 
1860000,0.500000,3.934209,0.988860,0.871820 
1865000,0.500000,3.933932,0.988860,0.871448 
1870000,0.500000,3.933656,0.988860,0.871075 
1875000,0.500000,3.933379,0.988860,0.870703 
1880000,0.500000,3.933103,0.988860,0.870330 
1885000,0.500000,3.932827,0.988860,0.869958 
1890000,0.500000,3.932551,0.988859,0.869585 
1895000,0.500000,3.932276,0.988859,0.869213 
1900000,0.500000,3.932001,0.988859,0.868840 
1905000,0.500000,3.931725,0.988859,0.868468 
1910000,0.500000,3.931450,0.988859,0.868095 
1915000,0.500000,3.931176,0.988859,0.867723 
1920000,0.500000,3.930901,0.988859,0.867350 
1925000,0.500000,3.930626,0.988859,0.866978 
1930000,0.500000,3.930352,0.988859,0.866605 
1935000,0.500000,3.930078,0.988859,0.866233 
1940000,0.500000,3.929804,0.988859,0.865860 
1945000,0.500000,3.929531,0.988858,0.865487 
1950000,0.500000,3.929257,0.988858,0.865115 
1955000,0.500000,3.928984,0.988858,0.864742 
1960000,0.500000,3.928711,0.988858,0.864370 
1965000,0.500000,3.928439,0.988858,0.863997 
1970000,0.500000,3.928166,0.988858,0.863625 
1975000,0.500000,3.927894,0.988858,0.863252 
1980000,0.500000,3.927621,0.988858,0.862880 
1985000,0.500000,3.927349,0.988858,0.862507 
1990000,0.500000,3.927078,0.988858,0.862135 
1995000,0.500000,3.926806,0.988858,0.861762 
2000000,0.500000,3.926535,0.988857,0.861390 
2005000,0.500000,3.926264,0.988857,0.861017 
2010000,0.500000,3.925993,0.988857,0.860645 
2015000,0.500000,3.925722,0.988857,0.860272 
2020000,0.500000,3.925451,0.988857,0.859900 
2025000,0.500000,3.925181,0.988857,0.859527 
2030000,0.500000,3.924910,0.988857,0.859154 
2035000,0.500000,3.924640,0.988857,0.858782 
2040000,0.500000,3.924370,0.988857,0.858409 
2045000,0.500000,3.924101,0.988857,0.858037 
2050000,0.500000,3.923831,0.988856,0.857664 
2055000,0.500000,3.923562,0.988856,0.857292 
2060000,0.500000,3.923293,0.988856,0.856919 
2065000,0.500000,3.923024,0.988856,0.856547 
2070000,0.500000,3.922756,0.988856,0.856174 
2075000,0.500000,3.922487,0.988856,0.855802 
2080000,0.500000,3.922219,0.988856,0.855429 
2085000,0.500000,3.921951,0.988856,0.855057 
2090000,0.500000,3.921683,0.988856,0.854684 
2095000,0.500000,3.921416,0.988856,0.854312 
2100000,0.500000,3.921148,0.988856,0.853939 
2105000,0.500000,3.920881,0.988855,0.853567 
2110000,0.500000,3.920614,0.988855,0.853194 
2115000,0.500000,3.920347,0.988855,0.852821 
2120000,0.500000,3.920080,0.988855,0.852449 
2125000,0.500000,3.919814,0.988855,0.852076 
2130000,0.500000,3.919548,0.988855,0.851704 
2135000,0.500000,3.919282,0.988855,0.851331 
2140000,0.500000,3.919016,0.988855,0.850959 
2145000,0.500000,3.918750,0.988855,0.850586 
2150000,0.500000,3.918485,0.988855,0.850214 
2155000,0.500000,3.918219,0.988855,0.849841 
2160000,0.500000,3.917954,0.988854,0.849469 
2165000,0.500000,3.917689,0.988854,0.849096 
2170000,0.500000,3.917424,0.988854,0.848724 
2175000,0.500000,3.917160,0.988854,0.848351 
2180000,0.500000,3.916896,0.988854,0.847979 
2185000,0.500000,3.916632,0.988854,0.847606 
2190000,0.500000,3.916368,0.988854,0.847234 
2195000,0.500000,3.916104,0.988854,0.846861 
2200000,0.500000,3.915840,0.988854,0.846488 
2205000,0.500000,3.915577,0.988854,0.846116 
2210000,0.500000,3.915314,0.988854,0.845743 
2215000,0.500000,3.915051,0.988853,0.845371 
2220000,0.500000,3.914788,0.988853,0.844998 
2225000,0.500000,3.914526,0.988853,0.844626 
2230000,0.500000,3.914263,0.988853,0.844253 
2235000,0.500000,3.914001,0.988853,0.843881 
2240000,0.500000,3.913739,0.988853,0.843508 
2245000,0.500000,3.913477,0.988853,0.843136 
2250000,0.500000,3.913216,0.988853,0.842763 
2255000,0.500000,3.912954,0.988853,0.842391 
2260000,0.500000,3.912693,0.988853,0.842018 
2265000,0.500000,3.912432,0.988853,0.841646 
2270000,0.500000,3.912172,0.988852,0.841273 
2275000,0.500000,3.911911,0.988852,0.840901 
2280000,0.500000,3.911650,0.988852,0.840528 
2285000,0.500000,3.911390,0.988852,0.840155 
2290000,0.500000,3.911130,0.988852,0.839783 
2295000,0.500000,3.910870,0.988852,0.839410 
2300000,0.500000,3.910610,0.988852,0.839038 
2305000,0.500000,3.910351,0.988852,0.838665 
